"Trabalho.1" "P1" "Total.P1" "Trabalho.2" "P2" "Total.P2" "Média.P2" "Ata.P1" "Ata.P2" "Turno" "Turma" "Tempo1" "Tempo2" "Abandono" "Existente"
"1" 1 3.5 4.5 2 2 4 4.2 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"2" 1 5 6 2 1.5 3.5 4.5 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"3" 1 3.5 4.5 0 0 0 1.8 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"4" 1 5 6 2 2 4 4.8 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"5" 1 5 6 2 4.5 6.5 6.3 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"6" 1 5.5 6.5 2 4.5 6.5 6.5 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"7" 1 6 7 2 5 7 7 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"8" 1 4 5 2 4 6 5.6 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"9" 1 4 5 2 6.5 8.5 7.1 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"10" 1 5 6 2 6.5 8.5 7.5 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"11" 1 6.5 7.5 2 7.4 9.4 8.6 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"12" NA NA 0 NA NA 0 0 "S" "S" "2M" "Civil4BM" 0 4 NA "N"
"13" 1 6.5 7.5 2 1 3 4.8 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"14" 1 5 6 2 3 5 5.4 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"15" 1 5.5 6.5 2 7.5 9.5 8.3 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"16" 1 6 7 2 4 6 6.4 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"17" 1 5 6 2 5.5 7.5 6.9 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"18" 1 5.5 6.5 2 4.8 6.8 6.7 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"19" NA NA 0 NA NA 0 0 "S" "S" "2M" "Civil4BM" 0 4 NA "N"
"20" 1 4 5 2 5.5 7.5 6.5 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"21" 1 5 6 2 2.5 4.5 5.1 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"22" 1 4 5 2 8 10 8 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"23" 0 10 10 2 0.5 2.5 5.5 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"24" 0 10 10 2 8 10 10 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"25" 1 5 6 2 5 7 6.6 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"26" 1 6 7 2 3.5 5.5 6.1 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"27" 1 4 5 0 0 0 2 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"28" 1 6 7 2 6.7 8.7 8 "S" "S" "2M" "Civil4BM" 0 4 "N" "S"
"29" 1 4.5 5.5 0 1.5 1.5 3.1 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"30" 1 5 6 0 0 0 2.4 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"31" 1 7 8 2 2.7 4.7 6 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"32" 1 3.5 4.5 2 4.5 6.5 5.7 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"33" 1 5 6 2 2.5 4.5 5.1 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"34" 1 9 10 2 6 8 8.8 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"35" NA NA 0 0 0 0 0 "S" "S" "2M" "Mec4AM" 0.5 4.5 NA "S"
"36" 1 5.5 6.5 2 8 10 8.6 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"37" 1 4 5 2 5 7 6.2 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"38" 1 4 5 2 0.5 2.5 3.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"39" 1 6.5 7.5 2 5.5 7.5 7.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"40" 1 5.5 6.5 2 3.7 5.7 6 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"41" 1 5.5 6.5 2 2 4 5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"42" 1 4.5 5.5 2 5.5 7.5 6.7 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"43" 0 10 10 2 8 10 10 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"44" 1 4 5 2 1 3 3.8 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"45" 1 4 5 2 3.4 5.4 5.2 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"46" 1 5.5 6.5 2 7 9 8 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"47" 1 5 6 2 7.5 9.5 8.1 "N" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"48" 1 4 5 2 5.5 7.5 6.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"49" 1 4.5 5.5 2 6.9 8.9 7.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"50" 1 8 9 2 4.1 6.1 7.3 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"51" 1 6.5 7.5 2 7.5 9.5 8.7 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"52" 1 3.5 4.5 2 1.5 3.5 3.9 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"53" 1 5 6 NA NA 0 2.4 "S" "S" "2M" "Mec4AM" 0.5 4.5 "S" "S"
"54" 1 4 5 2 0.5 2.5 3.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"55" 1 5.5 6.5 2 5.5 7.5 7.1 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"56" 1 4.5 5.5 2 4.5 6.5 6.1 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"57" 0 0 0 2 0.5 2.5 1.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"58" 1 8.5 9.5 2 7 9 9.2 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"59" 1 5.5 6.5 2 5 7 6.8 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"60" 1 4 5 0 0 0 2 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"61" 1 4 5 2 0.5 2.5 3.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"62" 1 7.5 8.5 2 0.7 2.7 5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
